brand,year,model,mileage,registration_time,price,warranty_time,city,link
揽胜运动版,2015款,3.0 SC V6 HSE,11,2015,29,,大连,https://www.che168.com/dealer/194682/51233159.html#pvareaid=100334
沃尔沃XC90,2020款,T5 智行豪华版 7座,2,2019,28.98,,大连,https://www.che168.com/dealer/526798/51136985.html#pvareaid=100334
奥迪A6L,2020款,45 TFSI quattro 臻选动感型,5,2020,28.98,,大连,https://www.che168.com/dealer/119851/51470031.html#pvareaid=100334
奥迪A5,2023款,Sportback 40 TFSI quattro 豪华动感型,0.6,2023,28.98,"原厂质保期剩余19个月, ",大连,https://www.che168.com/dealer/119851/50719167.html#pvareaid=100334
沃尔沃S90,2024款,B5 智远豪华版,0.8,2023,28.98,"原厂质保期剩余23个月, ",大连,https://www.che168.com/dealer/458002/51289746.html#pvareaid=100334
雷克萨斯RX,2020款,改款 300 两驱精英版,2.2,2022,28.9,原厂质保期剩余22个月,大连,https://www.che168.com/dealer/490144/51300001.html#pvareaid=100334
奔驰E级,2019款,E 300 L 运动时尚型,10,2019,28.9,,大连,https://www.che168.com/dealer/340495/50227305.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 300 L 4MATIC 动感型,4.6,2020,28.8,,大连,https://www.che168.com/dealer/367534/50642989.html#pvareaid=100334
奔驰E级,2019款,改款 E 300 L 时尚型,4.3,2019,28.8,,大连,https://www.che168.com/dealer/490144/51466636.html#pvareaid=100334
宝马X6,2018款,xDrive35i 领先型,8,2018,28.8,,大连,https://www.che168.com/dealer/523631/50937263.html#pvareaid=100334
奔驰GLC,2021款,GLC 300 L 4MATIC 动感型,4.9,2021,28.8,原厂质保期剩余不到1个月,大连,https://www.che168.com/dealer/340495/51030855.html#pvareaid=100334
普拉多,2016款,3.5L 自动TX-L NAVI,5,2015,28.8,,大连,https://www.che168.com/dealer/523631/51502433.html#pvareaid=100334
雷克萨斯GX,2010款,460,17.9,2011,28.8,,大连,https://www.che168.com/dealer/136774/51446848.html#pvareaid=100334
凯路威,2019款,2.0TSI 四驱舒适版 7座,4.3,2020,28.8,,大连,https://www.che168.com/dealer/218413/51360219.html#pvareaid=100334
发现,2014款,3.0 SDV6 HSE 柴油版,12,2014,28.8,,大连,https://www.che168.com/dealer/598821/50105891.html#pvareaid=100334
领航员,2016款,3.5T AWD,13,2018,28.8,,大连,https://www.che168.com/dealer/142541/50943447.html#pvareaid=100334
Model,X,2016款 Model X 75D,7,2017,28.8,,大连,https://www.che168.com/dealer/520234/50942699.html#pvareaid=100334
奔驰GLC,2022款,GLC 260 L 4MATIC 豪华型,6.33,2022,28.6,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/351179/51544468.html#pvareaid=100334
奥迪Q5L,2022款,45T 臻选动感型,5.3,2022,28.5,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/63803/51365550.html#pvareaid=100334
发现,2018款,2.0T SE,12,2018,28.5,,大连,https://www.che168.com/dealer/526798/51135747.html#pvareaid=100334
奔驰V级,2018款,V 260 L 尊贵加长版 国V,6.8,2019,28.5,,大连,https://www.che168.com/dealer/490144/51532371.html#pvareaid=100334
奥迪Q7,2016款,45 TFSI S line运动型,8,2017,28.5,,大连,https://www.che168.com/dealer/460888/50854223.html#pvareaid=100334
皇冠陆放,2023款,2.5L HEV四驱尊贵版,4,2023,28.5,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/194682/50547211.html#pvareaid=100334
威霆,2020款,2.0T 精英版 7座,6,2021,28.5,,大连,https://www.che168.com/dealer/211780/51239710.html#pvareaid=100334
凯迪拉克CT6,2023款,28T 豪华型,1.24,2023,28.38,"原厂质保期剩余25个月, ",大连,https://www.che168.com/dealer/559088/51503540.html#pvareaid=100334
大切诺基,SRT,2013款 6.4L SRT8,9.4,2013,28.18,,大连,https://www.che168.com/dealer/520234/46085365.html#pvareaid=100334
奔驰EQE,2022款,350 豪华版,3.25,2023,28.08,"原厂质保期剩余22个月, ",大连,https://www.che168.com/dealer/559088/51305906.html#pvareaid=100334
宝马5系新能源,2022款,535Le M运动套装,2,2022,28,原厂质保期剩余10个月,大连,https://www.che168.com/dealer/490144/51037527.html#pvareaid=100334
别克GL8,2022款,Avenir艾维亚 六座贤礼版,4.8,2021,28,原厂质保期剩余1个月,大连,https://www.che168.com/dealer/490144/51571423.html#pvareaid=100334
奔驰E级,2019款,改款 E 300 L 时尚型,12,2019,28,,大连,https://www.che168.com/dealer/126692/51000906.html#pvareaid=100334
奔驰V级,2018款,V 260 L 尊贵加长版 国VI,12,2019,28,,大连,https://www.che168.com/dealer/126692/51436202.html#pvareaid=100334
宝马6系GT,2018款,630i M运动套装,8,2018,28,,大连,https://www.che168.com/dealer/194682/50783058.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 300 L 4MATIC 动感型,7,2020,27.98,,大连,https://www.che168.com/dealer/526798/51359132.html#pvareaid=100334
奥迪A6L,2020款,45 TFSI quattro 臻选动感型,7.4,2020,27.98,,大连,https://www.che168.com/dealer/119851/50673628.html#pvareaid=100334
揽胜运动版,2015款,3.0 SC V6 HSE,10,2015,27.98,,大连,https://www.che168.com/dealer/264943/51385360.html#pvareaid=100334
雷克萨斯RX,2016款,300 四驱典雅版 国V,1.78,2019,27.94,,大连,https://www.che168.com/dealer/559088/51125057.html#pvareaid=100334
奔驰GL级,2015款,GL 400 4MATIC动感型,8,2015,27.9,,大连,https://www.che168.com/dealer/279909/51485926.html#pvareaid=100334
奥迪Q5L,2023款,40T 豪华动感型,1.34,2023,27.8,"原厂质保期剩余28个月, ",大连,https://www.che168.com/dealer/313632/51019309.html#pvareaid=100334
奔驰GL级,2014款,GL 350 CDI 4MATIC,14,2014,27.8,,大连,https://www.che168.com/dealer/281542/51126896.html#pvareaid=100334
兰德酷路泽,2007款,4.7L 自动VX-R,17.8,2011,27.8,,大连,https://www.che168.com/dealer/448774/51523474.html#pvareaid=100334
迈特威,2018款,2.0TSI 四驱尊享版 7座,14.3,2018,27.8,,大连,https://www.che168.com/dealer/218413/50762273.html#pvareaid=100334
RAM,Trucks,2018款 5.7L 自动,7,2018,27.8,,大连,https://www.che168.com/dealer/338748/49424899.html#pvareaid=100334
宝马5系,2019款,530Li xDrive M运动套装,5,2019,27.8,,大连,https://www.che168.com/dealer/194682/50559936.html#pvareaid=100334
奔驰GLC,2020款,GLC 260 L 4MATIC 豪华型,4,2020,27.8,,大连,https://www.che168.com/dealer/338748/50428916.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 260 L 4MATIC 豪华型,6,2020,27.8,,大连,https://www.che168.com/dealer/460888/51318692.html#pvareaid=100334
奔驰V级,2018款,V 260 L 尊贵加长版 国V,7,2019,27.8,,大连,https://www.che168.com/dealer/211780/50523270.html#pvareaid=100334
Ghibli,2014款,3.0T S Q4,7,2014,27.8,,大连,https://www.che168.com/dealer/520234/49467111.html#pvareaid=100334
雷克萨斯RX,2020款,300 四驱典雅版 国VI,10.5,2021,27.8,,大连,https://www.che168.com/dealer/485097/51492371.html#pvareaid=100334
雷克萨斯NX新能源,2022款,400h+ 畅悦版,0.05,2022,27.8,原厂质保期剩余44个月,大连,https://www.che168.com/dealer/485097/51011779.html#pvareaid=100334
奔驰V级,2018款,V 260 L 尊贵加长版 国VI,11,2018,27.7,,大连,https://www.che168.com/dealer/519280/50610003.html#pvareaid=100334
雷克萨斯RX,2020款,300 两驱舒适版 国VI,5.11,2020,27.69,,大连,https://www.che168.com/dealer/559088/51334623.html#pvareaid=100334
奥迪A6L,2020款,45 TFSI quattro 臻选动感型,5.7,2020,27.6,,大连,https://www.che168.com/dealer/490144/51266081.html#pvareaid=100334
奔驰E级,2018款,改款 E 300 L 运动豪华型,2.94,2018,27.6,,大连,https://www.che168.com/dealer/559088/51335198.html#pvareaid=100334
宝马5系,2022款,525Li 豪华套装,3.5,2022,27.58,原厂质保期剩余7个月,大连,https://www.che168.com/dealer/141917/51368153.html#pvareaid=100334
奔驰GLC,2022款,改款二 GLC 260 L 4MATIC 豪华型,2.3,2022,27.5,原厂质保期剩余10个月,大连,https://www.che168.com/dealer/490144/51527297.html#pvareaid=100334
宝马X4,2021款,xDrive 25i M运动套装,2.86,2021,27.5,原厂质保期剩余1个月,大连,https://www.che168.com/dealer/351179/51395881.html#pvareaid=100334
奔驰GLC,2021款,GLC 260 L 4MATIC 豪华型,4.16,2021,27.3,,大连,https://www.che168.com/dealer/554323/50696150.html#pvareaid=100334
沃尔沃XC90,2019款,T5 智逸版 5座 国V,5.2,2019,27.3,,大连,https://www.che168.com/dealer/371510/50408561.html#pvareaid=100334
别克GL8,2022款,Avenir艾维亚 七座亲礼版,3,2022,27,原厂质保期剩余6个月,大连,https://www.che168.com/dealer/126692/51269743.html#pvareaid=100334
奥迪Q5L,2021款,45 TFSI 豪华动感型,7.3,2021,26.98,,大连,https://www.che168.com/dealer/63803/51095050.html#pvareaid=100334
奥迪A6L,2021款,40 TFSI 豪华动感型,4.34,2021,26.98,,大连,https://www.che168.com/dealer/313632/51227075.html#pvareaid=100334
别克GL8,2022款,ES陆尊 653T 旗舰型,7,2022,26.9,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/136774/50412349.html#pvareaid=100334
奥迪A5,2023款,Sportback 40 TFSI quattro 豪华动感型,0.6,2023,26.9,"原厂质保期剩余19个月, ",大连,https://www.che168.com/dealer/63803/51519094.html#pvareaid=100334
奥迪A8,2016款,A8L 45 TFSI quattro豪华型,15,2016,26.9,,大连,https://www.che168.com/dealer/519280/50241669.html#pvareaid=100334
奔驰GLE,2015款,GLE 320 4MATIC,6.25,2016,26.8,,大连,https://www.che168.com/dealer/367534/51347194.html#pvareaid=100334
Model,Y,2023款 高性能全轮驱动版,2.98,2023,26.8,"原厂质保期剩余39个月, ",大连,https://www.che168.com/dealer/367534/51500009.html#pvareaid=100334
Metris,2019款,2.0T 自动,8.3,2020,26.8,,大连,https://www.che168.com/dealer/603944/50587270.html#pvareaid=100334
奔驰E级,2019款,E 300 L 运动时尚型,6,2019,26.8,,大连,https://www.che168.com/dealer/340495/51308095.html#pvareaid=100334
迈特威,2017款,2.0TSI 四驱尊享版 7座,11,2017,26.8,,大连,https://www.che168.com/dealer/342150/49393022.html#pvareaid=100334
宝马X3,2019款,xDrive30i 领先型 M运动套装,4.5,2020,26.8,,大连,https://www.che168.com/dealer/342150/50544134.html#pvareaid=100334
奔驰R级,2017款,R 320 4MATIC 商务型臻藏版,6.6,2018,26.8,,大连,https://www.che168.com/dealer/218413/49199933.html#pvareaid=100334
奥迪Q7,2016款,45 TFSI 技术型,7,2017,26.8,,大连,https://www.che168.com/dealer/112308/50508249.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 260 L 4MATIC 豪华型,7,2021,26.8,原厂质保期剩余2个月,大连,https://www.che168.com/dealer/338748/51228592.html#pvareaid=100334
宝马5系(进口),2021款,525i M运动套装,4,2021,26.8,,大连,https://www.che168.com/dealer/460888/51453321.html#pvareaid=100334
Sprinter,2015款,3.5L 自动,5,2017,26.8,,大连,https://www.che168.com/dealer/238244/51478322.html#pvareaid=100334
SIENNA,2019款,3.5L 自动,8,2020,26.8,,大连,https://www.che168.com/dealer/211780/51366241.html#pvareaid=100334
宾仕盾房车,2015款,3.0T 手动,3,2015,26.8,,大连,https://www.che168.com/dealer/118242/51369520.html#pvareaid=100334
红旗E-HS9,2021款,510km 旗畅版 六座,4.7,2022,26.5,原厂质保期剩余21个月,大连,https://www.che168.com/dealer/490144/51528079.html#pvareaid=100334
奥迪A6L,2021款,40 TFSI 豪华动感型,2.6,2021,26.5,,大连,https://www.che168.com/dealer/554323/51531000.html#pvareaid=100334
奔驰GLE,2016款,GLE 400 4MATIC,12,2017,26.5,,大连,https://www.che168.com/dealer/279909/51087409.html#pvareaid=100334
奥迪A7,2017款,40 TFSI quattro 技术型,9,2018,26.5,,大连,https://www.che168.com/dealer/532302/49801089.html#pvareaid=100334
奥迪A6L,2020款,40 TFSI 豪华动感型,4.4,2020,25.98,,大连,https://www.che168.com/dealer/119851/51321815.html#pvareaid=100334
奥迪Q5L,2022款,40T 豪华动感型,5.4,2022,25.98,原厂质保期剩余15个月,大连,https://www.che168.com/dealer/119851/50808019.html#pvareaid=100334
奥迪A6L,2019款,40 TFSI 豪华动感型,6.4,2020,25.98,,大连,https://www.che168.com/dealer/119851/51010915.html#pvareaid=100334
沃尔沃XC60,2023款,B5 四驱智远豪华版,1.5,2022,25.98,"原厂质保期剩余14个月, ",大连,https://www.che168.com/dealer/458002/51289779.html#pvareaid=100334
奔驰GLE,2016款,GLE 320 4MATIC 豪华型,12,2017,25.9,,大连,https://www.che168.com/dealer/279909/51293713.html#pvareaid=100334
艾力绅,2022款,2.0L e:HEV 至尊版,3,2023,25.9,"原厂质保期剩余20个月, ",大连,https://www.che168.com/dealer/202062/51345943.html#pvareaid=100334
揽胜,2011款,5.0 SC V8,16,2011,25.88,,大连,https://www.che168.com/dealer/386330/48181095.html#pvareaid=100334
RAM,Trucks,2017款 5.7L 自动,7,2018,25.88,,大连,https://www.che168.com/dealer/386330/51089766.html#pvareaid=100334
揽巡,2023款,380TSI 四驱R-Line巡礼版,0.78,2022,25.85,"原厂质保期剩余16个月, ",大连,https://www.che168.com/dealer/559088/51364018.html#pvareaid=100334
宝马3系,2023款,325Li M运动套装,0.68,2023,25.8,"原厂质保期剩余18个月, ",大连,https://www.che168.com/dealer/367534/50547406.html#pvareaid=100334
奥迪A6L,2020款,40 TFSI 豪华动感型,4.8,2020,25.8,,大连,https://www.che168.com/dealer/490144/51359698.html#pvareaid=100334
奔驰A级AMG(进口),2022款,AMG A 35 4MATIC,3,2023,25.8,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/367534/51499900.html#pvareaid=100334
奔驰GLC,2020款,GLC 260 L 4MATIC 豪华型,6.5,2020,25.8,,大连,https://www.che168.com/dealer/367534/51537888.html#pvareaid=100334
普拉多,2014款,4.0L 自动TX-L,21,2014,25.8,,大连,https://www.che168.com/dealer/448774/51528608.html#pvareaid=100334
奥迪A6L,2019款,45 TFSI quattro 臻选动感型,6,2020,25.8,,大连,https://www.che168.com/dealer/559967/51458776.html#pvareaid=100334
奥迪A6L,2019款,45 TFSI 臻选致雅型,5.1,2019,25.8,,大连,https://www.che168.com/dealer/119851/50695125.html#pvareaid=100334
别克GL8,2023款,ES陆尊 尊享型,5,2023,25.8,原厂质保期剩余17个月,大连,https://www.che168.com/dealer/523631/51144966.html#pvareaid=100334
奔驰GL级,2013款,GL 350 柴油中东版,18,2013,25.8,,大连,https://www.che168.com/dealer/342150/50719863.html#pvareaid=100334
奥迪A8,2012款,A8L 45 TFSI quattro舒适型,5.1,2013,25.8,,大连,https://www.che168.com/dealer/281542/50513488.html#pvareaid=100334
Panamera,2010款,Panamera 4 3.6L,6.9,2013,25.8,,大连,https://www.che168.com/dealer/213752/50832530.html#pvareaid=100334
福特E350,2015款,5.4L 自动,1,2016,25.8,,大连,https://www.che168.com/dealer/238244/51275987.html#pvareaid=100334
Sprinter,2015款,3.5L 自动,7,2016,25.8,,大连,https://www.che168.com/dealer/238244/51448049.html#pvareaid=100334
奔驰E级,2020款,E 260 L,6,2021,25.8,,大连,https://www.che168.com/dealer/559967/51458734.html#pvareaid=100334
威霆,2018款,2.0T 商务版 国VI,4.1,2018,25.8,,大连,https://www.che168.com/dealer/76347/49574897.html#pvareaid=100334
奔驰GLA,AMG,2022款 AMG GLA 35 4MATIC,2.5,2022,25.8,原厂质保期剩余7个月,大连,https://www.che168.com/dealer/422942/51452610.html#pvareaid=100334
奔驰GLE,2015款,GLE 320 4MATIC,11,2016,25.8,,大连,https://www.che168.com/dealer/520234/47742089.html#pvareaid=100334
凯迪拉克XT5,2024款,2.0T 四驱豪华型（蜂鸟版）,0.06,2024,25.8,"原厂质保期剩余32个月, ",大连,https://www.che168.com/dealer/254996/50592670.html#pvareaid=100334
威霆,2018款,2.0T 精英版 7座 国VI,9,2019,25.8,,大连,https://www.che168.com/dealer/415003/51129167.html#pvareaid=100334
总裁,2015款,3.0T S Q4,6,2014,25.8,,大连,https://www.che168.com/dealer/551228/51096621.html#pvareaid=100334
宝马X3,2021款,xDrive28i M运动套装,4,2021,25.8,原厂质保期剩余不到1个月,大连,https://www.che168.com/dealer/283387/51244664.html#pvareaid=100334
普拉多,2016款,2.7L 自动标准版,15.12,2017,25.64,,大连,https://www.che168.com/dealer/559088/50075661.html#pvareaid=100334
途昂,2023款,380TSI 四驱尊崇豪华版,0.86,2022,25.62,"原厂质保期剩余15个月, ",大连,https://www.che168.com/dealer/559088/50890036.html#pvareaid=100334
奔驰E级,2019款,E 260 L 4MATIC,8.06,2020,25.6,,大连,https://www.che168.com/dealer/351179/51562855.html#pvareaid=100334
奔驰GLB,2024款,GLB 220 动感型,0.01,2024,25.58,"原厂质保期剩余34个月, ",大连,https://www.che168.com/dealer/70189/51330654.html#pvareaid=100334
奔驰GLC,2020款,GLC 300 L 4MATIC 豪华型,9,2020,25.5,,大连,https://www.che168.com/dealer/279909/51184243.html#pvareaid=100334
奔驰GLC,2021款,GLC 260 L 4MATIC 动感型,5.9,2021,25.5,,大连,https://www.che168.com/dealer/490144/51528896.html#pvareaid=100334
凯路威,2018款,2.0TSI 四驱豪华版 7座,7,2017,25.5,,大连,https://www.che168.com/dealer/519280/51283893.html#pvareaid=100334
途乐,2018款,4.0L 自动,6.4,2018,25.5,,大连,https://www.che168.com/dealer/520234/50110136.html#pvareaid=100334
雷克萨斯NX新能源,2022款,400h+ 畅悦版,2.6,2022,25.5,原厂质保期剩余44个月,大连,https://www.che168.com/dealer/485097/51468402.html#pvareaid=100334
奥迪A6L,2021款,40 TFSI 豪华动感型,7.27,2021,25.4,原厂质保期剩余1个月,大连,https://www.che168.com/dealer/559088/51503503.html#pvareaid=100334
途昂,2023款,改款 380TSI 四驱尊崇豪华版,0.1,2024,25.3,"原厂质保期剩余30个月, ",大连,https://www.che168.com/dealer/490144/51484718.html#pvareaid=100334
普拉多,2016款,2.7L 自动标准版,13.28,2017,25.26,,大连,https://www.che168.com/dealer/559088/51170605.html#pvareaid=100334
别克GL8,2021款,ES陆尊 653T 尊享型,6.14,2021,25.21,,大连,https://www.che168.com/dealer/559088/50917771.html#pvareaid=100334
奥迪A8,2014款,A8L 45 TFSI quattro豪华型,12.96,2015,25.08,,大连,https://www.che168.com/dealer/559088/51124010.html#pvareaid=100334
奥迪Q5L,2022款,40T 豪华动感型,1,2022,25,原厂质保期剩余10个月,大连,https://www.che168.com/dealer/490144/51077273.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 260 L 4MATIC 豪华型,6.2,2020,25,品牌认证，享原厂延保,大连,https://www.che168.com/dealer/70189/51190555.html#pvareaid=100334
宝马5系,2020款,525Li M运动套装,1.4,2020,25,,大连,https://www.che168.com/dealer/490144/51538822.html#pvareaid=100334
普拉多,2016款,2.7L 自动标准版,13.43,2017,25,,大连,https://www.che168.com/dealer/351179/51137322.html#pvareaid=100334
别克GL8,2021款,ES陆尊 653T 舒适型,3.64,2021,25,,大连,https://www.che168.com/dealer/351179/51494338.html#pvareaid=100334
SAVANA,2015款,6.0L G660L 两驱雅尊版,5,2019,25,,大连,https://www.che168.com/dealer/126692/50470146.html#pvareaid=100334
奥迪A8,2016款,A8L 45 TFSI quattro舒适型,14.61,2016,25,,大连,https://www.che168.com/dealer/603571/51472547.html#pvareaid=100334
奔驰A级AMG,2019款,AMG A 35 L 4MATIC,3.19,2021,25,,大连,https://www.che168.com/dealer/559088/51525214.html#pvareaid=100334
奥迪A6L,2022款,40 TFSI 豪华动感型,2.3,2022,25,原厂质保期剩余6个月,大连,https://www.che168.com/dealer/552027/51541884.html#pvareaid=100334
奔驰E级,2016款,E 300 L 豪华型,10,2017,24.98,,大连,https://www.che168.com/dealer/526798/51127439.html#pvareaid=100334
奥迪A6L,2019款,45 TFSI 臻选致雅型,6.8,2019,24.98,,大连,https://www.che168.com/dealer/119851/51101542.html#pvareaid=100334
奥迪Q5L,2021款,40 TFSI 豪华致雅型,4.5,2021,24.98,原厂质保期剩余2个月,大连,https://www.che168.com/dealer/119851/51011028.html#pvareaid=100334
坦克400新能源,2023款,Hi4-T 超能版,0.6,2023,24.98,"原厂质保期剩余53个月, ",大连,https://www.che168.com/dealer/597339/51528283.html#pvareaid=100334
艾力绅,2022款,2.0L e:HEV 至尊版,4.36,2023,24.98,原厂质保期剩余18个月,大连,https://www.che168.com/dealer/559088/50975841.html#pvareaid=100334
宝马5系,2020款,525Li M运动套装,4.93,2020,24.9,,大连,https://www.che168.com/dealer/371510/51439644.html#pvareaid=100334
途昂,2023款,380TSI 四驱尊崇豪华版,0.5,2024,24.9,"原厂质保期剩余30个月, ",大连,https://www.che168.com/dealer/490144/51414567.html#pvareaid=100334
奥迪Q5L,2021款,40 TFSI 豪华动感型,7.7,2021,24.9,,大连,https://www.che168.com/dealer/63803/50987708.html#pvareaid=100334
奔驰GLC,2020款,改款 GLC 260 L 4MATIC 动感型,3.75,2020,24.9,,大连,https://www.che168.com/dealer/554323/50599794.html#pvareaid=100334
奔驰V级,2018款,V 260 尊贵版 国VI,10,2019,24.9,,大连,https://www.che168.com/dealer/136774/50662829.html#pvareaid=100334
奔驰E级,2019款,E 260 L,12,2019,24.9,,大连,https://www.che168.com/dealer/340495/51011503.html#pvareaid=100334
兰德酷路泽(进口),2012款,4.0L 自动,15,2012,24.9,,大连,https://www.che168.com/dealer/561219/50807796.html#pvareaid=100334
奔驰E级,2019款,E 200 L,3,2019,24.9,,大连,https://www.che168.com/dealer/136774/50496201.html#pvareaid=100334
揽胜,2011款,5.0 SC V8 尊崇创世版,12,2011,24.9,,大连,https://www.che168.com/dealer/598821/50423574.html#pvareaid=100334
Panamera,2013款,Panamera Platinum Edition 3.6L,8,2013,24.88,,大连,https://www.che168.com/dealer/515827/49109900.html#pvareaid=100334
宝马3系,2022款,改款 325Li xDrive M运动套装,3.4,2022,24.8,原厂质保期剩余9个月,大连,https://www.che168.com/dealer/367534/50610707.html#pvareaid=100334
奔驰C级,2023款,C 260 L 运动版,1.55,2023,24.8,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/554323/50807582.html#pvareaid=100334
SIENNA,2015款,3.5L 四驱L,18,2018,24.8,,大连,https://www.che168.com/dealer/281542/51319367.html#pvareaid=100334
奔驰V级,2018款,V 260 L 尊贵加长版 国V,12,2018,24.8,,大连,https://www.che168.com/dealer/211780/50936997.html#pvareaid=100334
凯路威,2018款,2.0TSI 四驱舒适版 7座,9.2,2018,24.8,,大连,https://www.che168.com/dealer/218413/51244494.html#pvareaid=100334
奔驰V级,2016款,V 260 L 尊贵加长版,11,2017,24.8,,大连,https://www.che168.com/dealer/559967/49593893.html#pvareaid=100334
RAM,Trucks,2018款 5.7L 自动,9,2018,24.8,,大连,https://www.che168.com/dealer/338748/50330646.html#pvareaid=100334
SAVANA,2016款,6.0L G660L 雅尊天幕版,3,2019,24.8,,大连,https://www.che168.com/dealer/238244/51333343.html#pvareaid=100334
Sprinter,2016款,3.5L 自动,7,2016,24.8,,大连,https://www.che168.com/dealer/238244/51518597.html#pvareaid=100334
奔驰GLE轿跑,2015款,GLE 320 4MATIC 轿跑SUV,8.9,2016,24.8,,大连,https://www.che168.com/dealer/559967/51537693.html#pvareaid=100334
威霆,2020款,2.0T 商务版 9座,5,2020,24.8,,大连,https://www.che168.com/dealer/211780/50724004.html#pvareaid=100334
奔驰GLE,2016款,GLE 320 4MATIC 豪华型,9.6,2016,24.8,,大连,https://www.che168.com/dealer/520234/51485639.html#pvareaid=100334
奔驰E级,2019款,E 200 L 运动型 4MATIC,3.45,2018,24.7,,大连,https://www.che168.com/dealer/559088/51515670.html#pvareaid=100334
沃尔沃XC60,2023款,B5 四驱智远豪华版,1.68,2022,24.68,"原厂质保期剩余17个月, ",大连,https://www.che168.com/dealer/559088/51317637.html#pvareaid=100334
奥迪A6L,2020款,45 TFSI quattro 臻选动感型,13.03,2020,24.68,,大连,https://www.che168.com/dealer/559088/51515766.html#pvareaid=100334
宝马3系,2023款,325Li M运动套装,3.04,2023,24.6,"原厂质保期剩余20个月, ",大连,https://www.che168.com/dealer/351179/51270659.html#pvareaid=100334
奔驰GLB,2023款,GLB 220 时尚型,1.48,2023,24.6,"原厂质保期剩余22个月, ",大连,https://www.che168.com/dealer/351179/51415102.html#pvareaid=100334
宝马5系,2018款,改款 530Li 尊享型 M运动套装,9,2018,24.6,,大连,https://www.che168.com/dealer/136774/51044479.html#pvareaid=100334
奥迪A7,2016款,50 TFSI quattro 舒适型,12.55,2016,24.6,,大连,https://www.che168.com/dealer/559088/50464517.html#pvareaid=100334
凯迪拉克CT6,2023款,28T 风尚型,1.57,2023,24.6,"原厂质保期剩余21个月, ",大连,https://www.che168.com/dealer/559088/51306447.html#pvareaid=100334
宝马5系进口,2021款,525i M运动套装,8,2021,24.6,,大连,https://www.che168.com/dealer/551228/50516432.html#pvareaid=100334
宝马iX3,2022款,改款 创领型,0.8,2022,24.58,"原厂质保期剩余15个月, ",大连,https://www.che168.com/dealer/141917/51538466.html#pvareaid=100334
奔驰E级,2016款,E 300 L 豪华型,8,2018,24.5,,大连,https://www.che168.com/dealer/279909/51301618.html#pvareaid=100334
宝马X3,2020款, xDrive28i M运动套装,4,2020,24.5,,大连,https://www.che168.com/dealer/460888/51175959.html#pvareaid=100334
宝马5系,2020款,525Li 豪华套装,7.95,2020,24.48,,大连,https://www.che168.com/dealer/559088/51399224.html#pvareaid=100334
奥迪Q5L,2021款,40 TFSI 豪华动感型,5.53,2021,24.3,,大连,https://www.che168.com/dealer/371510/51333418.html#pvareaid=100334
大切诺基进口,2020款,3.0L 精英导航版,1.9,2022,24.3,"原厂质保期剩余14个月, ",大连,https://www.che168.com/dealer/554323/51208927.html#pvareaid=100334
揽境,2021款,380TSI 四驱旗舰胜境版,0.6,2023,24.2,"原厂质保期剩余21个月, ",大连,https://www.che168.com/dealer/490144/51469423.html#pvareaid=100334
别克GL8,2021款,ES陆尊 653T 舒适型,8.78,2021,24.1,原厂质保期剩余3个月,大连,https://www.che168.com/dealer/351179/51485246.html#pvareaid=100334
奔驰C级,2023款,改款 C 260 L 运动版,1.29,2023,24.1,"原厂质保期剩余19个月, ",大连,https://www.che168.com/dealer/559088/51296274.html#pvareaid=100334
岚图梦想家,2022款,低碳版 梦+智享包,2.51,2023,24.1,"原厂质保期剩余42个月, ",大连,https://www.che168.com/dealer/559088/51564792.html#pvareaid=100334
奥迪A4L,2024款,40 TFSI 豪华动感型,0.01,2024,24,"原厂质保期剩余31个月, ",大连,https://www.che168.com/dealer/63803/50409317.html#pvareaid=100334
探险者,2020款,EcoBoost 285 四驱运动版ST-LINE 7座,6,2021,24,,大连,https://www.che168.com/dealer/194682/50651279.html#pvareaid=100334
宝马3系,2022款,325Li M运动套装,3.33,2022,23.98,原厂质保期剩余5个月,大连,https://www.che168.com/dealer/313632/50801547.html#pvareaid=100334
别克GL8,2020款,ES陆尊 653T 豪华型,5,2020,23.98,,大连,https://www.che168.com/dealer/526798/49127443.html#pvareaid=100334
宝马X6,2017款,xDrive35i 领先型,14,2017,23.98,,大连,https://www.che168.com/dealer/460888/50646861.html#pvareaid=100334
途昂X,2023款,380TSI 四驱尊崇豪华版,0.41,2023,23.85,"原厂质保期剩余23个月, ",大连,https://www.che168.com/dealer/559088/51502622.html#pvareaid=100334
Metris,2018款,2.0T 自动,5,2018,23.8,,大连,https://www.che168.com/dealer/603944/50559180.html#pvareaid=100334
SIENNA,2015款,3.5L 美规版,11.8,2017,23.8,,大连,https://www.che168.com/dealer/281542/51017298.html#pvareaid=100334
